path	sha256	area	change	status	reviewed_ranges	basis
LC language structure tree.txt	c8050aa2e3ae3f17a5adb2efc157cc552b3cd1845c06e20f47ceddc8b09ab497	LC language structure tree.txt	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/00_RELEASE/01_RELEASE_STATUS_AND_BOUNDARY.txt	1f056149e23aeef1098ccbf4f33f487acd89863148302f719d5e80ea599cf7ce	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/00_RELEASE/02_NORMATIVE_AUTHORITY_ORDER.txt	c7e8a72347c71d9971173dcb2390c596e5c260ba25aaa6253d2fbff238a9dfe5	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/00_RELEASE/03_COMPLETENESS_CRITERIA.txt	fe556cb24484cb5fa6d963848988f7a15e3351aa8f90ae1f191889ce9fecddb5	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/00_RELEASE/04_CHANGE_CONTROL.txt	09513dce6285aeb8e27b479e6a9611f9400d039b68b6cede7f8dd6314d4741f9	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/01_FOUNDATION/01_PURPOSE_AND_TERMINOLOGY.txt	74e09bd5fb82fb974961d2224f41420dfb1cd50871db5917c2141f8afafb7831	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/01_FOUNDATION/02_DESIGN_PRINCIPLES.txt	1d4ad416338c2a9fc2fdae06fbec54f1ec1131b9d62b6c68b9003f1f46bcd656	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/01_FOUNDATION/03_NORMATIVE_PROCESSING_MODEL.txt	8b473096588d9b57ba5c6617a27037085313f70e269f3ddcffe16ee5914428fc	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/01_FOUNDATION/04_DOCUMENT_KINDS_AND_BOUNDARIES.txt	0feaa0fda6e5026ed6eb5165807c533f8a3911dadab7cd769eb458f6e85f7ea2	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
LCL_Core_0_1_Final/01_FOUNDATION/05_NORMATIVE_AND_NON_NORMATIVE_CONTENT.txt	8301751cf24bc6e46945bfba97d3e1b42752951def0bc18ffa88e0932188312f	LCL_Core_0_1_Final	none	unreviewed	-	outside the D5 review scope, or a direct caller not enumerated
